Timestamp,EventType,Source,Description
2026-03-02T22:40:08.014626,NOTIFICATION,10.14.76.18,Sent: test
2026-03-02T22:42:16.453548,NOTIFICATION,10.14.76.18,Sent: jgkvu
2026-03-02T22:43:03.809239,NOTIFICATION,10.14.76.18,Sent: bjvlki
2026-03-02T22:43:08.452451,SIREN_AUDIO,10.14.76.18,Dispatched siren.mp3
2026-03-02T22:51:07.498985,NOTIFICATION,10.14.76.18,Sent: oigtuoiu8g
2026-03-02T22:51:13.588020,SIREN_AUDIO,10.14.76.18,Dispatched siren.mp3
2026-03-02T22:52:03.480094,NOTIFICATION,10.14.76.18,Sent: ophiop
2026-03-02T22:52:05.834493,SIREN_AUDIO,10.14.76.18,Dispatched siren.mp3
2026-03-02T22:52:18.154883,SOS,10.14.76.18,Worker triggered SOS alert.
2026-03-02T22:52:44.346651,AUDIO_BROADCAST,10.14.76.18,Dispatched audio file: temp_broadcast.mp3
2026-03-03T00:36:13.986463,TASK_ASSIGNED,10.14.76.18,Assigned task: kcfjvkuj
2026-03-03T00:36:19.614511,TASK_ASSIGNED,10.14.76.18,Assigned task: oifgviou
2026-03-03T00:36:23.556023,TASK_ASSIGNED,10.14.76.18,Assigned task: uiciuy
2026-03-03T00:36:53.595260,SOS,10.14.76.18,Worker triggered SOS alert.
2026-03-03T00:38:10.590387,SOS,10.14.76.18,Worker triggered SOS alert.
2026-03-03T00:38:17.582322,SOS_ACK,10.14.76.18,SOS alert acknowledged by command center.
2026-03-03T00:38:32.607210,FALL,10.14.76.18,Worker triggered FALL alert.
2026-03-03T00:38:49.716159,FALL_ACK,10.14.76.18,FALL alert acknowledged by command center.
2026-03-03T00:56:45.036548,SOS,10.14.76.18,Worker triggered SOS alert.
2026-03-03T00:56:53.552659,SOS_ACK,10.14.76.18,SOS alert acknowledged by command center.
2026-03-03T01:09:43.820401,AUDIO_BROADCAST,10.14.76.18,Dispatched audio file: temp_broadcast.mp3
2026-03-03T01:10:00.493538,SOS,10.14.76.18,Worker triggered SOS alert.
2026-03-03T01:10:04.580493,SOS_ACK,10.14.76.18,SOS alert acknowledged by command center.
